Homolog.gene.primaryIdentifier,Homolog.gene.organism.shortName,Homolog.ortholog_gene.primaryIdentifier,Homolog.ortholog_gene.organism.shortName,Homolog.relationship
Potri.017G152500,P. trichocarpa,AT3G47580,A. thaliana,many-to-many
Potri.017G152500,P. trichocarpa,AT5G20480,A. thaliana,many-to-many
Potri.017G152800,P. trichocarpa,AT3G01350,A. thaliana,many-to-many
Potri.017G152800,P. trichocarpa,AT5G14940,A. thaliana,many-to-many
Potri.017G153300,P. trichocarpa,AT1G17860,A. thaliana,many-to-one
Potri.017G153400,P. trichocarpa,AT1G17860,A. thaliana,many-to-one
Potri.017G153500,P. trichocarpa,AT1G17860,A. thaliana,many-to-one
Potri.017G153600,P. trichocarpa,AT1G17860,A. thaliana,many-to-one
Potri.017G153900,P. trichocarpa,AT1G73320,A. thaliana,one-to-one
Potri.017G154000,P. trichocarpa,AT1G54540,A. thaliana,many-to-one
Potri.017G154400,P. trichocarpa,AT3G21350,A. thaliana,one-to-one
Potri.017G154600,P. trichocarpa,AT1G73340,A. thaliana,one-to-one
Potri.017G154800,P. trichocarpa,AT1G17810,A. thaliana,many-to-many
Potri.017G154800,P. trichocarpa,AT1G73190,A. thaliana,many-to-many
Potri.017G155000,P. trichocarpa,AT1G17820,A. thaliana,many-to-many
Potri.017G155000,P. trichocarpa,AT1G73200,A. thaliana,many-to-many
Potri.017G155200,P. trichocarpa,AT1G17830,A. thaliana,many-to-many
Potri.017G155200,P. trichocarpa,AT1G73210,A. thaliana,many-to-many
Potri.017G155300,P. trichocarpa,AT1G17840,A. thaliana,many-to-one
Potri.018G000500,P. trichocarpa,AT4G31120,A. thaliana,one-to-one
Potri.018G000600,P. trichocarpa,AT4G31130,A. thaliana,many-to-one
Potri.018G000700,P. trichocarpa,AT3G53440,A. thaliana,many-to-one
Potri.018G000800,P. trichocarpa,AT5G23710,A. thaliana,many-to-one
Potri.018G000900,P. trichocarpa,AT4G31140,A. thaliana,many-to-one
Potri.018G001000,P. trichocarpa,AT4G31150,A. thaliana,one-to-one
Potri.018G001600,P. trichocarpa,AT3G57560,A. thaliana,many-to-one
Potri.018G001800,P. trichocarpa,AT2G24360,A. thaliana,many-to-many
Potri.018G001800,P. trichocarpa,AT4G31170,A. thaliana,many-to-many
Potri.018G001900,P. trichocarpa,AT2G24360,A. thaliana,many-to-many
Potri.018G001900,P. trichocarpa,AT4G31170,A. thaliana,many-to-many
Potri.018G002000,P. trichocarpa,AT4G31200,A. thaliana,many-to-one
Potri.018G002400,P. trichocarpa,AT2G24370,A. thaliana,many-to-many
Potri.018G002400,P. trichocarpa,AT4G31230,A. thaliana,many-to-many
Potri.018G002600,P. trichocarpa,AT4G31250,A. thaliana,many-to-one
Potri.018G002700,P. trichocarpa,AT2G21080,A. thaliana,many-to-one
Potri.018G002800,P. trichocarpa,AT4G31270,A. thaliana,many-to-one
Potri.018G002900,P. trichocarpa,AT4G31290,A. thaliana,many-to-one
Potri.018G003000,P. trichocarpa,AT2G24390,A. thaliana,many-to-one
Potri.018G003100,P. trichocarpa,AT4G16130,A. thaliana,one-to-one
Potri.018G003300,P. trichocarpa,AT1G10330,A. thaliana,many-to-one
Potri.018G003400,P. trichocarpa,AT5G24810,A. thaliana,many-to-one
Potri.018G003700,P. trichocarpa,AT2G24420,A. thaliana,many-to-many
Potri.018G003700,P. trichocarpa,AT4G31340,A. thaliana,many-to-many
Potri.018G003800,P. trichocarpa,AT2G24430,A. thaliana,many-to-one
Potri.018G003900,P. trichocarpa,AT5G24840,A. thaliana,many-to-one
Potri.018G004000,P. trichocarpa,AT4G26000,A. thaliana,many-to-one
Potri.018G004400,P. trichocarpa,AT5G24830,A. thaliana,many-to-one
Potri.018G004700,P. trichocarpa,AT2G24440,A. thaliana,many-to-many
Potri.018G004700,P. trichocarpa,AT4G31360,A. thaliana,many-to-many
Potri.018G005000,P. trichocarpa,AT2G24440,A. thaliana,many-to-many
Potri.018G005000,P. trichocarpa,AT4G31360,A. thaliana,many-to-many
Potri.018G005100,P. trichocarpa,AT2G24450,A. thaliana,many-to-many
Potri.018G005100,P. trichocarpa,AT4G31370,A. thaliana,many-to-many
Potri.018G005200,P. trichocarpa,AT5G10625,A. thaliana,many-to-many
Potri.018G005200,P. trichocarpa,AT5G24860,A. thaliana,many-to-many
Potri.018G005500,P. trichocarpa,AT5G10660,A. thaliana,many-to-many
Potri.018G005500,P. trichocarpa,AT5G24880,A. thaliana,many-to-many
Potri.018G005600,P. trichocarpa,AT5G10650,A. thaliana,many-to-many
Potri.018G005600,P. trichocarpa,AT5G24870,A. thaliana,many-to-many
Potri.018G005700,P. trichocarpa,AT2G24530,A. thaliana,many-to-one
Potri.018G005900,P. trichocarpa,AT5G10710,A. thaliana,one-to-one
Potri.018G006000,P. trichocarpa,AT2G24520,A. thaliana,many-to-one
Potri.018G006100,P. trichocarpa,AT1G22920,A. thaliana,many-to-many
Potri.018G006100,P. trichocarpa,AT1G71230,A. thaliana,many-to-many
Potri.018G006200,P. trichocarpa,AT4G31430,A. thaliana,many-to-one
Potri.018G006300,P. trichocarpa,AT2G24500,A. thaliana,many-to-many
Potri.018G006300,P. trichocarpa,AT4G31420,A. thaliana,many-to-many
Potri.018G006400,P. trichocarpa,AT4G31410,A. thaliana,many-to-one
Potri.018G006500,P. trichocarpa,AT5G10630,A. thaliana,many-to-one
Potri.018G006900,P. trichocarpa,AT4G31460,A. thaliana,one-to-one
Potri.018G007000,P. trichocarpa,AT4G31470,A. thaliana,one-to-one
Potri.018G007100,P. trichocarpa,AT2G24540,A. thaliana,one-to-one
Potri.018G007300,P. trichocarpa,AT5G10695,A. thaliana,one-to-one
Potri.018G007400,P. trichocarpa,AT4G31480,A. thaliana,many-to-many
Potri.018G007400,P. trichocarpa,AT4G31490,A. thaliana,many-to-many
Potri.018G007500,P. trichocarpa,AT1G60625,A. thaliana,many-to-many
Potri.018G007500,P. trichocarpa,AT1G61563,A. thaliana,many-to-many
Potri.018G007500,P. trichocarpa,AT1G61566,A. thaliana,many-to-many
Potri.018G007500,P. trichocarpa,AT2G22055,A. thaliana,many-to-many
Potri.018G007500,P. trichocarpa,AT2G32835,A. thaliana,many-to-many
Potri.018G007600,P. trichocarpa,AT1G60625,A. thaliana,many-to-many
Potri.018G007600,P. trichocarpa,AT1G61563,A. thaliana,many-to-many
Potri.018G007600,P. trichocarpa,AT1G61566,A. thaliana,many-to-many
Potri.018G007600,P. trichocarpa,AT2G22055,A. thaliana,many-to-many
Potri.018G007600,P. trichocarpa,AT2G32835,A. thaliana,many-to-many
Potri.018G007800,P. trichocarpa,AT1G60625,A. thaliana,many-to-many
Potri.018G007800,P. trichocarpa,AT1G61563,A. thaliana,many-to-many
Potri.018G007800,P. trichocarpa,AT1G61566,A. thaliana,many-to-many
Potri.018G007800,P. trichocarpa,AT2G22055,A. thaliana,many-to-many
Potri.018G007800,P. trichocarpa,AT2G32835,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT1G11620,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT1G11810,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT1G24800,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT1G24881,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT1G25055,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT1G25150,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT1G25211,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT1G32140,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT1G54550,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT1G59680,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT1G62270,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT1G66490,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT1G67450,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT2G07140,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT2G17830,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT2G18780,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT2G33655,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT2G38590,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT3G04250,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT3G10430,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT3G13680,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT3G13820,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT3G13830,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT3G14030,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT3G16740,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT3G16820,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT3G16880,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT3G17265,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT3G17320,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT3G17400,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT3G17480,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT3G17490,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT3G17540,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT3G17620,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT3G18120,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT3G18980,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT3G19470,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT3G19560,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT3G19880,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT3G19890,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT3G20030,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT3G20690,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT3G20700,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT3G20710,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT3G22421,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT3G22710,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT3G22770,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT3G22870,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT3G22940,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT3G23420,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT3G23685,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT3G24580,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT3G24700,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT3G25090,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT3G49510,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT3G49520,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT4G05080,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT4G10740,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT4G17200,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT4G33290,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT5G36200,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT5G36730,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT5G36820,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT5G41500,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT5G41510,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT5G42460,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT5G47300,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT5G51000,A. thaliana,many-to-many
Potri.018G007900,P. trichocarpa,AT5G60560,A. thaliana,many-to-many
Potri.018G008000,P. trichocarpa,AT5G10700,A. thaliana,one-to-one
Potri.018G008200,P. trichocarpa,AT5G24890,A. thaliana,many-to-one
Potri.018G008300,P. trichocarpa,AT1G13470,A. thaliana,many-to-many
Potri.018G008300,P. trichocarpa,AT1G13480,A. thaliana,many-to-many
Potri.018G008300,P. trichocarpa,AT1G13490,A. thaliana,many-to-many
Potri.018G008300,P. trichocarpa,AT1G13500,A. thaliana,many-to-many
Potri.018G008300,P. trichocarpa,AT1G13510,A. thaliana,many-to-many
Potri.018G008300,P. trichocarpa,AT1G13520,A. thaliana,many-to-many
Potri.018G008300,P. trichocarpa,AT1G13530,A. thaliana,many-to-many
Potri.018G008300,P. trichocarpa,AT1G13540,A. thaliana,many-to-many
Potri.018G008300,P. trichocarpa,AT1G13550,A. thaliana,many-to-many
Potri.018G008400,P. trichocarpa,AT4G31540,A. thaliana,many-to-one
Potri.018G008500,P. trichocarpa,AT2G24570,A. thaliana,one-to-many
Potri.018G008500,P. trichocarpa,AT4G31550,A. thaliana,one-to-many
Potri.018G008600,P. trichocarpa,AT4G31570,A. thaliana,one-to-one
Potri.018G008700,P. trichocarpa,AT2G24580,A. thaliana,many-to-one
Potri.018G009100,P. trichocarpa,AT2G24590,A. thaliana,many-to-many
Potri.018G009100,P. trichocarpa,AT4G31580,A. thaliana,many-to-many
Potri.018G009200,P. trichocarpa,AT2G24610,A. thaliana,many-to-one
Potri.018G009300,P. trichocarpa,AT2G24630,A. thaliana,many-to-many
Potri.018G009300,P. trichocarpa,AT4G31590,A. thaliana,many-to-many
Potri.018G009400,P. trichocarpa,AT4G31600,A. thaliana,many-to-one
Potri.018G009500,P. trichocarpa,AT2G24640,A. thaliana,many-to-many
Potri.018G009500,P. trichocarpa,AT4G31670,A. thaliana,many-to-many
Potri.018G009700,P. trichocarpa,AT5G10720,A. thaliana,many-to-one
Potri.018G009800,P. trichocarpa,AT2G29100,A. thaliana,many-to-many
Potri.018G009800,P. trichocarpa,AT2G29110,A. thaliana,many-to-many
Potri.018G009800,P. trichocarpa,AT2G29120,A. thaliana,many-to-many
Potri.018G009900,P. trichocarpa,AT2G29100,A. thaliana,many-to-many
Potri.018G009900,P. trichocarpa,AT2G29110,A. thaliana,many-to-many
Potri.018G009900,P. trichocarpa,AT2G29120,A. thaliana,many-to-many
Potri.018G010000,P. trichocarpa,AT2G29100,A. thaliana,many-to-many
Potri.018G010000,P. trichocarpa,AT2G29110,A. thaliana,many-to-many
Potri.018G010000,P. trichocarpa,AT2G29120,A. thaliana,many-to-many
Potri.018G010200,P. trichocarpa,AT2G29100,A. thaliana,many-to-many
Potri.018G010200,P. trichocarpa,AT2G29110,A. thaliana,many-to-many
Potri.018G010200,P. trichocarpa,AT2G29120,A. thaliana,many-to-many
Potri.018G010400,P. trichocarpa,AT2G29100,A. thaliana,many-to-many
Potri.018G010400,P. trichocarpa,AT2G29110,A. thaliana,many-to-many
Potri.018G010400,P. trichocarpa,AT2G29120,A. thaliana,many-to-many
Potri.018G010700,P. trichocarpa,AT2G29100,A. thaliana,many-to-many
Potri.018G010700,P. trichocarpa,AT2G29110,A. thaliana,many-to-many
Potri.018G010700,P. trichocarpa,AT2G29120,A. thaliana,many-to-many
Potri.018G011200,P. trichocarpa,AT2G24640,A. thaliana,many-to-many
Potri.018G011200,P. trichocarpa,AT4G31670,A. thaliana,many-to-many
Potri.018G011400,P. trichocarpa,AT5G10720,A. thaliana,many-to-one
Potri.018G011500,P. trichocarpa,AT2G29100,A. thaliana,many-to-many
Potri.018G011500,P. trichocarpa,AT2G29110,A. thaliana,many-to-many
Potri.018G011500,P. trichocarpa,AT2G29120,A. thaliana,many-to-many
Potri.018G011800,P. trichocarpa,AT2G29100,A. thaliana,many-to-many
Potri.018G011800,P. trichocarpa,AT2G29110,A. thaliana,many-to-many
Potri.018G011800,P. trichocarpa,AT2G29120,A. thaliana,many-to-many
Potri.018G012000,P. trichocarpa,AT2G29100,A. thaliana,many-to-many
Potri.018G012000,P. trichocarpa,AT2G29110,A. thaliana,many-to-many
Potri.018G012000,P. trichocarpa,AT2G29120,A. thaliana,many-to-many
Potri.018G012100,P. trichocarpa,AT2G29100,A. thaliana,many-to-many
Potri.018G012100,P. trichocarpa,AT2G29110,A. thaliana,many-to-many
Potri.018G012100,P. trichocarpa,AT2G29120,A. thaliana,many-to-many
Potri.018G012300,P. trichocarpa,AT2G29100,A. thaliana,many-to-many
Potri.018G012300,P. trichocarpa,AT2G29110,A. thaliana,many-to-many
Potri.018G012300,P. trichocarpa,AT2G29120,A. thaliana,many-to-many
Potri.018G012600,P. trichocarpa,AT2G29100,A. thaliana,many-to-many
Potri.018G012600,P. trichocarpa,AT2G29110,A. thaliana,many-to-many
Potri.018G012600,P. trichocarpa,AT2G29120,A. thaliana,many-to-many
Potri.018G012700,P. trichocarpa,AT2G29100,A. thaliana,many-to-many
Potri.018G012700,P. trichocarpa,AT2G29110,A. thaliana,many-to-many
Potri.018G012700,P. trichocarpa,AT2G29120,A. thaliana,many-to-many
Potri.018G012900,P. trichocarpa,AT2G29100,A. thaliana,many-to-many
Potri.018G012900,P. trichocarpa,AT2G29110,A. thaliana,many-to-many
Potri.018G012900,P. trichocarpa,AT2G29120,A. thaliana,many-to-many
Potri.018G013000,P. trichocarpa,AT2G29100,A. thaliana,many-to-many
Potri.018G013000,P. trichocarpa,AT2G29110,A. thaliana,many-to-many
Potri.018G013000,P. trichocarpa,AT2G29120,A. thaliana,many-to-many
Potri.018G013200,P. trichocarpa,AT2G29100,A. thaliana,many-to-many
Potri.018G013200,P. trichocarpa,AT2G29110,A. thaliana,many-to-many
Potri.018G013200,P. trichocarpa,AT2G29120,A. thaliana,many-to-many
Potri.018G013300,P. trichocarpa,AT4G31720,A. thaliana,one-to-one
Potri.018G013400,P. trichocarpa,AT5G10730,A. thaliana,many-to-one
Potri.018G013500,P. trichocarpa,AT3G07040,A. thaliana,many-to-one
Potri.018G013700,P. trichocarpa,AT2G24765,A. thaliana,many-to-one
Potri.018G013800,P. trichocarpa,AT5G24930,A. thaliana,many-to-one
Potri.018G013900,P. trichocarpa,AT4G31750,A. thaliana,many-to-one
Potri.018G014000,P. trichocarpa,AT5G24970,A. thaliana,one-to-one
Potri.018G014300,P. trichocarpa,AT5G10750,A. thaliana,one-to-many
Potri.018G014300,P. trichocarpa,AT5G24990,A. thaliana,one-to-many
Potri.018G014300,P. trichocarpa,AT5G25010,A. thaliana,one-to-many
Potri.018G014300,P. trichocarpa,AT5G25020,A. thaliana,one-to-many
Potri.018G015100,P. trichocarpa,AT5G10770,A. thaliana,one-to-one
Potri.018G015200,P. trichocarpa,AT5G25780,A. thaliana,many-to-many
Potri.018G015200,P. trichocarpa,AT5G27640,A. thaliana,many-to-many
Potri.018G015300,P. trichocarpa,AT4G31770,A. thaliana,one-to-one
Potri.018G015500,P. trichocarpa,AT2G24800,A. thaliana,many-to-many
Potri.018G015500,P. trichocarpa,AT4G31760,A. thaliana,many-to-many
Potri.018G015700,P. trichocarpa,AT2G24820,A. thaliana,many-to-one
Potri.018G015800,P. trichocarpa,AT2G02230,A. thaliana,many-to-many
Potri.018G015800,P. trichocarpa,AT2G02240,A. thaliana,many-to-many
Potri.018G015800,P. trichocarpa,AT2G02250,A. thaliana,many-to-many
Potri.018G015800,P. trichocarpa,AT2G02310,A. thaliana,many-to-many
Potri.018G015800,P. trichocarpa,AT2G02340,A. thaliana,many-to-many
Potri.018G015800,P. trichocarpa,AT2G02360,A. thaliana,many-to-many
Potri.018G016000,P. trichocarpa,AT2G02230,A. thaliana,many-to-many
Potri.018G016000,P. trichocarpa,AT2G02240,A. thaliana,many-to-many
Potri.018G016000,P. trichocarpa,AT2G02250,A. thaliana,many-to-many
Potri.018G016000,P. trichocarpa,AT2G02310,A. thaliana,many-to-many
Potri.018G016000,P. trichocarpa,AT2G02340,A. thaliana,many-to-many
Potri.018G016000,P. trichocarpa,AT2G02360,A. thaliana,many-to-many
Potri.018G016100,P. trichocarpa,AT2G02230,A. thaliana,many-to-many
Potri.018G016100,P. trichocarpa,AT2G02240,A. thaliana,many-to-many
Potri.018G016100,P. trichocarpa,AT2G02250,A. thaliana,many-to-many
Potri.018G016100,P. trichocarpa,AT2G02310,A. thaliana,many-to-many
Potri.018G016100,P. trichocarpa,AT2G02340,A. thaliana,many-to-many
Potri.018G016100,P. trichocarpa,AT2G02360,A. thaliana,many-to-many
Potri.018G016200,P. trichocarpa,AT2G24830,A. thaliana,one-to-one
Potri.018G016300,P. trichocarpa,AT2G24970,A. thaliana,one-to-one
Potri.018G016400,P. trichocarpa,AT2G24860,A. thaliana,many-to-one
Potri.018G016500,P. trichocarpa,AT1G80450,A. thaliana,many-to-one
Potri.018G016600,P. trichocarpa,AT4G31780,A. thaliana,many-to-one
Potri.018G016800,P. trichocarpa,AT5G10780,A. thaliana,many-to-one
Potri.018G016900,P. trichocarpa,AT2G24940,A. thaliana,many-to-one
Potri.018G017000,P. trichocarpa,AT5G10790,A. thaliana,many-to-one
Potri.018G017100,P. trichocarpa,AT5G25040,A. thaliana,many-to-many
Potri.018G017100,P. trichocarpa,AT5G25050,A. thaliana,many-to-many
Potri.018G017200,P. trichocarpa,AT5G25060,A. thaliana,many-to-one
Potri.018G017300,P. trichocarpa,AT5G10810,A. thaliana,many-to-one
Potri.018G017400,P. trichocarpa,AT5G10820,A. thaliana,many-to-one
Potri.018G018100,P. trichocarpa,AT5G25080,A. thaliana,many-to-one
Potri.018G018200,P. trichocarpa,AT2G25060,A. thaliana,many-to-many
Potri.018G018200,P. trichocarpa,AT4G31840,A. thaliana,many-to-many
Potri.018G018300,P. trichocarpa,AT4G31830,A. thaliana,one-to-one
Potri.018G018400,P. trichocarpa,AT5G10840,A. thaliana,many-to-many
Potri.018G018400,P. trichocarpa,AT5G25100,A. thaliana,many-to-many
Potri.018G018600,P. trichocarpa,AT4G31820,A. thaliana,many-to-one
Potri.018G018800,P. trichocarpa,AT4G31810,A. thaliana,one-to-one
Potri.018G018900,P. trichocarpa,AT5G66360,A. thaliana,one-to-one
Potri.018G019100,P. trichocarpa,AT3G18090,A. thaliana,one-to-many
Potri.018G019100,P. trichocarpa,AT3G23780,A. thaliana,one-to-many
Potri.018G019300,P. trichocarpa,AT5G10870,A. thaliana,many-to-one
Potri.018G019400,P. trichocarpa,AT4G31805,A. thaliana,many-to-one
Potri.018G019800,P. trichocarpa,AT2G25000,A. thaliana,many-to-many
Potri.018G019800,P. trichocarpa,AT4G31800,A. thaliana,many-to-many
Potri.018G019900,P. trichocarpa,AT5G10930,A. thaliana,many-to-many
Potri.018G019900,P. trichocarpa,AT5G25110,A. thaliana,many-to-many
Potri.018G020000,P. trichocarpa,AT3G47090,A. thaliana,many-to-many
Potri.018G020000,P. trichocarpa,AT3G47110,A. thaliana,many-to-many
Potri.018G020000,P. trichocarpa,AT3G47570,A. thaliana,many-to-many
Potri.018G020000,P. trichocarpa,AT3G47580,A. thaliana,many-to-many
Potri.018G020000,P. trichocarpa,AT5G20480,A. thaliana,many-to-many
Potri.018G020200,P. trichocarpa,AT5G25150,A. thaliana,many-to-one
Potri.018G020400,P. trichocarpa,AT4G31880,A. thaliana,many-to-one
Potri.018G020700,P. trichocarpa,AT2G25110,A. thaliana,many-to-one
Potri.018G020900,P. trichocarpa,AT1G80780,A. thaliana,many-to-many
Potri.018G020900,P. trichocarpa,AT2G32070,A. thaliana,many-to-many
Potri.018G021000,P. trichocarpa,AT5G54830,A. thaliana,many-to-one
Potri.018G021100,P. trichocarpa,AT2G25170,A. thaliana,many-to-one
Potri.018G021300,P. trichocarpa,AT2G25180,A. thaliana,many-to-many
Potri.018G021300,P. trichocarpa,AT4G31920,A. thaliana,many-to-many
Potri.018G021400,P. trichocarpa,AT5G10970,A. thaliana,many-to-many
Potri.018G021400,P. trichocarpa,AT5G25160,A. thaliana,many-to-many
Potri.018G021600,P. trichocarpa,AT4G31930,A. thaliana,one-to-one
Potri.018G021700,P. trichocarpa,AT5G25170,A. thaliana,many-to-one
Potri.018G021800,P. trichocarpa,AT5G11000,A. thaliana,many-to-one
Potri.018G021900,P. trichocarpa,AT5G25190,A. thaliana,many-to-one
Potri.018G022100,P. trichocarpa,AT3G02190,A. thaliana,many-to-many
Potri.018G022100,P. trichocarpa,AT4G31985,A. thaliana,many-to-many
Potri.018G022200,P. trichocarpa,AT4G31990,A. thaliana,many-to-one
Potri.018G022300,P. trichocarpa,AT2G25220,A. thaliana,many-to-many
Potri.018G022300,P. trichocarpa,AT4G32000,A. thaliana,many-to-many
Potri.018G022400,P. trichocarpa,AT2G25250,A. thaliana,many-to-many
Potri.018G022400,P. trichocarpa,AT4G32020,A. thaliana,many-to-many
Potri.018G022500,P. trichocarpa,AT5G11040,A. thaliana,many-to-one
Potri.018G022700,P. trichocarpa,AT5G11060,A. thaliana,many-to-many
Potri.018G022700,P. trichocarpa,AT5G25220,A. thaliana,many-to-many
Potri.018G022800,P. trichocarpa,AT4G32050,A. thaliana,one-to-one
Potri.018G022900,P. trichocarpa,AT5G25250,A. thaliana,many-to-many
Potri.018G022900,P. trichocarpa,AT5G25260,A. thaliana,many-to-many
Potri.018G022900,P. trichocarpa,AT5G64870,A. thaliana,many-to-many
Potri.018G023100,P. trichocarpa,AT5G25265,A. thaliana,many-to-one
Potri.018G023200,P. trichocarpa,AT2G25270,A. thaliana,many-to-one
Potri.018G023300,P. trichocarpa,AT5G11090,A. thaliana,many-to-many
Potri.018G023300,P. trichocarpa,AT5G25280,A. thaliana,many-to-many
Potri.018G023400,P. trichocarpa,AT4G32060,A. thaliana,one-to-one
Potri.018G023500,P. trichocarpa,AT2G25290,A. thaliana,many-to-many
Potri.018G023500,P. trichocarpa,AT4G32070,A. thaliana,many-to-many
Potri.018G023700,P. trichocarpa,AT2G25280,A. thaliana,many-to-one
Potri.018G024300,P. trichocarpa,AT2G31170,A. thaliana,one-to-one
Potri.018G024400,P. trichocarpa,AT1G67270,A. thaliana,many-to-many
Potri.018G024400,P. trichocarpa,AT1G67780,A. thaliana,many-to-many
Potri.018G024400,P. trichocarpa,AT5G38690,A. thaliana,many-to-many
Potri.018G024500,P. trichocarpa,AT2G25300,A. thaliana,many-to-many
Potri.018G024500,P. trichocarpa,AT4G32120,A. thaliana,many-to-many
Potri.018G024600,P. trichocarpa,AT2G25310,A. thaliana,many-to-many
Potri.018G024600,P. trichocarpa,AT4G32130,A. thaliana,many-to-many
Potri.018G024700,P. trichocarpa,AT4G32140,A. thaliana,many-to-one
Potri.018G024900,P. trichocarpa,AT2G28690,A. thaliana,many-to-one
Potri.018G025100,P. trichocarpa,AT5G11110,A. thaliana,one-to-one
Potri.018G025200,P. trichocarpa,AT5G11130,A. thaliana,one-to-one
Potri.018G025400,P. trichocarpa,AT5G25310,A. thaliana,one-to-one
Potri.018G025500,P. trichocarpa,AT5G25320,A. thaliana,many-to-one
Potri.018G025600,P. trichocarpa,AT2G25320,A. thaliana,many-to-one
Potri.018G025800,P. trichocarpa,AT2G25340,A. thaliana,many-to-many
Potri.018G025800,P. trichocarpa,AT4G32150,A. thaliana,many-to-many
Potri.018G026000,P. trichocarpa,AT2G25350,A. thaliana,many-to-many
Potri.018G026000,P. trichocarpa,AT4G32160,A. thaliana,many-to-many
Potri.018G026200,P. trichocarpa,AT5G11160,A. thaliana,many-to-one
Potri.018G026400,P. trichocarpa,AT4G32250,A. thaliana,many-to-one
Potri.018G026500,P. trichocarpa,AT4G32260,A. thaliana,many-to-one
Potri.018G026600,P. trichocarpa,AT4G32272,A. thaliana,many-to-one
